rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0291.jpg,116.4,0.5744,0.7461,0.1111,0.84,10,1,False,False
75,frame_0017.jpg,6.8,0.5734,0.5468,0.3333,1.0,9,3,False,False
76,frame_0005.jpg,2.0,0.573,0.6127,0.2222,1.0,10,2,False,False
77,frame_0329.jpg,131.6,0.573,0.7807,0.5556,0.08,16,5,False,False
78,frame_0378.jpg,151.2,0.5718,0.9116,0.3333,0.08,13,3,False,False
79,frame_0275.jpg,110.0,0.5698,0.793,0.4444,0.2,15,4,False,False
80,frame_0379.jpg,151.6,0.5693,0.856,0.4444,0.04,14,4,False,False
81,frame_0305.jpg,122.0,0.569,0.7593,0.4444,0.28,10,4,False,False
82,frame_0069.jpg,27.6,0.5687,0.604,0.2222,1.0,13,2,False,False
83,frame_0315.jpg,126.0,0.5675,0.6203,0.7778,0.12,11,7,False,False
84,frame_0003.jpg,1.2,0.5652,0.5305,0.3333,1.0,10,3,False,False
85,frame_0368.jpg,147.2,0.5644,0.9129,0.3333,0.04,17,3,False,False
86,frame_0203.jpg,81.2,0.564,0.6721,0.3333,0.64,8,3,False,False
87,frame_0082.jpg,32.8,0.5617,0.5181,0.5556,0.68,14,5,False,False
88,frame_0094.jpg,37.6,0.5606,0.7745,0.4444,0.2,12,4,False,False
89,frame_0232.jpg,92.8,0.5592,0.705,0.5556,0.2,14,5,False,False
90,frame_0181.jpg,72.4,0.5585,0.7676,0.5556,0.04,12,5,False,False
91,frame_0175.jpg,70.0,0.5563,0.7339,0.4444,0.28,11,4,False,False
92,frame_0396.jpg,158.4,0.5562,0.7817,0.4444,0.16,12,4,False,False
93,frame_0292.jpg,116.8,0.5543,0.5886,0.3333,0.8,13,3,False,False
94,frame_0319.jpg,127.6,0.5535,0.8616,0.2222,0.28,13,2,False,False
95,frame_0088.jpg,35.2,0.5504,0.6582,0.4444,0.44,11,4,False,False
96,frame_0013.jpg,5.2,0.5498,0.633,0.1111,1.0,6,1,False,False
97,frame_0323.jpg,129.2,0.5495,0.6509,0.6667,0.12,12,6,False,False
98,frame_0105.jpg,42.0,0.5477,0.8635,0.3333,0.08,12,3,False,False
